text,user,created_at,timestamp,geo
"Swansea City Vs Everton

Match Preview : http://t.co/npOro83XFT

Ftblsk4 #SWAEVE #SWAvEFC #Bpl #PremierLeague #Matchday #EFC #COYB",lostrama16,2015-09-19 13:56:11,1442670971343,
Come on the Swans! #SWAEVE #Swans,Mat_Kurak,2015-09-19 13:56:13,1442670973378,
@eduolveraelman Está por jugar contra Everton.,PatoCornejo,2015-09-19 13:56:14,1442670974360,
Congratulations to Jagielka on his 300th appearance for Everton #cleansheetforjags,jonhilladi,2015-09-19 13:56:14,1442670974796,
Swansea City vs Everton will be a cracker!!!,LloydNkayi,2015-09-19 13:56:15,1442670975156,
Swansea vs Everton,JimJayce,2015-09-19 13:56:16,1442670976869,
"SWANSEA CITY VS. EVERTON
Jado Max &amp; Mahoro Nasri
Ni iyihe uha amahirwe?",flashfmrw,2015-09-19 13:56:16,1442670976981,
"Big result last week, time to get another one today against Swans. Let's go @Everton! #COYB!",SheaVedIce,2015-09-19 13:56:17,1442670977309,
"Swansea City Vs Everton

Live Stream : http://t.co/Nxb3o07o2D

Ftblsk4 #GlobalSwans #SWAEVE #Epl #Swans #EFC #COYB #SWAvEFC",AtasoyPerihan,2015-09-19 13:56:20,1442670980307,
I think the only more likable matchup than Everton and Swansea would be Everton and Bournemouth.,lauramahler,2015-09-19 13:56:20,1442670980956,
Swansea vs Everton! ... Jagielka and Howard.. Clean sheet for the FPL...,Hardeyi,2015-09-19 13:56:21,1442670981882,
"Swansea City Vs Everton

Live Stream : http://t.co/ksxWR5gSbB

Ftblsk4 #GlobalSwans #SWAEVE #Epl #Swans #EFC #COYB #SWAvEFC",turkeinfo,2015-09-19 13:56:22,1442670982874,
Swansea vs Everton shud b an open game and end to end action,torianjd,2015-09-19 13:56:24,1442670984477,
Swansea vs Everton should be good,Rahlo13,2015-09-19 13:56:24,1442670984888,
Everton Swansea. Meh.,Mr_mylz,2015-09-19 13:56:25,1442670985450,
